freq,amp,phase
0.1,1.53846153846154,-1.44558569005382
0.15,1.53846153846154,2.48742646948442
0.25,1.53846153846154,-0.451816379257446
0.35,1.53846153846154,2.9206761544314
0.55,1.53846153846154,1.0269332176763
0.65,1.53846153846154,0.764636761164592
0.85,1.17647058823529,-2.42062244227112
0.95,1.05263157894737,2.82422430604331
1.15,0.869565217391304,-0.31471134698681
1.45,0.689655172413793,0.4925364733527
1.55,0.645161290322581,-0.577193491160858
1.85,0.54054054054054,-1.65230821392166
